index,value,infrence_time,Learning algorithm,Number of features selected (K),chosen_features,Selected Features scores,Filtering Algorithm,Fold,fs_time,Dataset Name,Number of samples,Original Number of features,CV Method
accuracy,0.6166666666666667,0.08594410767157873,LogisticRegression,2,"['X54326_at', 'Z78285_f_at']",[1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,-0.056033181468052584,0.08594410767157873,LogisticRegression,2,"['X54326_at', 'Z78285_f_at']",[1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.4688644688644688,0.08594410767157873,LogisticRegression,2,"['X54326_at', 'Z78285_f_at']",[1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.33942427787024937,0.08594410767157873,LogisticRegression,2,"['X54326_at', 'Z78285_f_at']",[1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,0.08594410767157873,0.08594410767157873,LogisticRegression,2,"['X54326_at', 'Z78285_f_at']",[1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
accuracy,0.5,4.329603002096216,RandomForestClassifier,2,"['X54326_at', 'Z78285_f_at']",[1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,-0.15121163955682565,4.329603002096216,RandomForestClassifier,2,"['X54326_at', 'Z78285_f_at']",[1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.4163614163614164,4.329603002096216,RandomForestClassifier,2,"['X54326_at', 'Z78285_f_at']",[1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.31229715794750157,4.329603002096216,RandomForestClassifier,2,"['X54326_at', 'Z78285_f_at']",[1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,4.329603002096216,4.329603002096216,RandomForestClassifier,2,"['X54326_at', 'Z78285_f_at']",[1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
accuracy,0.5666666666666667,0.010158088803291321,KNeighborsClassifier,2,"['X54326_at', 'Z78285_f_at']",[1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,-0.046649971620151415,0.010158088803291321,KNeighborsClassifier,2,"['X54326_at', 'Z78285_f_at']",[1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.4206349206349206,0.010158088803291321,KNeighborsClassifier,2,"['X54326_at', 'Z78285_f_at']",[1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.32569239703386044,0.010158088803291321,KNeighborsClassifier,2,"['X54326_at', 'Z78285_f_at']",[1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,0.010158088803291321,0.010158088803291321,KNeighborsClassifier,2,"['X54326_at', 'Z78285_f_at']",[1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
accuracy,0.5666666666666667,0.004996173456311226,GaussianNB,2,"['X54326_at', 'Z78285_f_at']",[1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,-0.2212488394343549,0.004996173456311226,GaussianNB,2,"['X54326_at', 'Z78285_f_at']",[1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.38583638583638585,0.004996173456311226,GaussianNB,2,"['X54326_at', 'Z78285_f_at']",[1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.2868887285808186,0.004996173456311226,GaussianNB,2,"['X54326_at', 'Z78285_f_at']",[1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,0.004996173456311226,0.004996173456311226,GaussianNB,2,"['X54326_at', 'Z78285_f_at']",[1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
accuracy,0.65,0.004009119793772697,SVC,2,"['X54326_at', 'Z78285_f_at']",[1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,0.0,0.004009119793772697,SVC,2,"['X54326_at', 'Z78285_f_at']",[1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.3553113553113553,0.004009119793772697,SVC,2,"['X54326_at', 'Z78285_f_at']",[1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.2775812623488998,0.004009119793772697,SVC,2,"['X54326_at', 'Z78285_f_at']",[1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,0.004009119793772697,0.004009119793772697,SVC,2,"['X54326_at', 'Z78285_f_at']",[1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
accuracy,0.6333333333333333,0.09074656174828609,LogisticRegression,3,"['L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,0.0316069770620507,0.09074656174828609,LogisticRegression,3,"['L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.41880341880341876,0.09074656174828609,LogisticRegression,3,"['L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.33157997900662556,0.09074656174828609,LogisticRegression,3,"['L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,0.09074656174828609,0.09074656174828609,LogisticRegression,3,"['L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
accuracy,0.5,4.331247311582168,RandomForestClassifier,3,"['L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,-0.2573710989338414,4.331247311582168,RandomForestClassifier,3,"['L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.3583638583638583,4.331247311582168,RandomForestClassifier,3,"['L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.2760420495556985,4.331247311582168,RandomForestClassifier,3,"['L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,4.331247311582168,4.331247311582168,RandomForestClassifier,3,"['L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
accuracy,0.5,0.009753460126618544,KNeighborsClassifier,3,"['L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,-0.21628623205706565,0.009753460126618544,KNeighborsClassifier,3,"['L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.38278388278388276,0.009753460126618544,KNeighborsClassifier,3,"['L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.31833086904080815,0.009753460126618544,KNeighborsClassifier,3,"['L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,0.009753460126618544,0.009753460126618544,KNeighborsClassifier,3,"['L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
accuracy,0.5833333333333334,0.0050786373515923815,GaussianNB,3,"['L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,-0.12812370226601225,0.0050786373515923815,GaussianNB,3,"['L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.4285714285714285,0.0050786373515923815,GaussianNB,3,"['L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.32760027400881553,0.0050786373515923815,GaussianNB,3,"['L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,0.0050786373515923815,0.0050786373515923815,GaussianNB,3,"['L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
accuracy,0.65,0.0038269881159067156,SVC,3,"['L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,0.0,0.0038269881159067156,SVC,3,"['L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.45299145299145294,0.0038269881159067156,SVC,3,"['L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.3425795449765807,0.0038269881159067156,SVC,3,"['L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,0.0038269881159067156,0.0038269881159067156,SVC,3,"['L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
accuracy,0.6166666666666667,0.09335690252482891,LogisticRegression,4,"['X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,-0.011647609296910204,0.09335690252482891,LogisticRegression,4,"['X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.42979242979242976,0.09335690252482891,LogisticRegression,4,"['X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.33819099520877516,0.09335690252482891,LogisticRegression,4,"['X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,0.09335690252482891,0.09335690252482891,LogisticRegression,4,"['X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
accuracy,0.4166666666666667,4.2674007313326,RandomForestClassifier,4,"['X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,-0.3278814577913689,4.2674007313326,RandomForestClassifier,4,"['X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.41147741147741146,4.2674007313326,RandomForestClassifier,4,"['X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.3025085115801501,4.2674007313326,RandomForestClassifier,4,"['X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,4.2674007313326,4.2674007313326,RandomForestClassifier,4,"['X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
accuracy,0.5166666666666667,0.013153660235305627,KNeighborsClassifier,4,"['X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,-0.050757964866842614,0.013153660235305627,KNeighborsClassifier,4,"['X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.4725274725274725,0.013153660235305627,KNeighborsClassifier,4,"['X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.33389850889850886,0.013153660235305627,KNeighborsClassifier,4,"['X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,0.013153660235305627,0.013153660235305627,KNeighborsClassifier,4,"['X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
accuracy,0.6,0.005451008801658949,GaussianNB,4,"['X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,0.12087912087912088,0.005451008801658949,GaussianNB,4,"['X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.5824175824175825,0.005451008801658949,GaussianNB,4,"['X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.4086020775820367,0.005451008801658949,GaussianNB,4,"['X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,0.005451008801658949,0.005451008801658949,GaussianNB,4,"['X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
accuracy,0.6166666666666667,0.007275487172106901,SVC,4,"['X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,-0.13626312508266655,0.007275487172106901,SVC,4,"['X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.47130647130647135,0.007275487172106901,SVC,4,"['X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.32757548678283777,0.007275487172106901,SVC,4,"['X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,0.007275487172106901,0.007275487172106901,SVC,4,"['X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
accuracy,0.5833333333333334,0.09875129833817482,LogisticRegression,5,"['X54232_at', 'X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,-0.08223422828074596,0.09875129833817482,LogisticRegression,5,"['X54232_at', 'X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.4835164835164835,0.09875129833817482,LogisticRegression,5,"['X54232_at', 'X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.3815130306159923,0.09875129833817482,LogisticRegression,5,"['X54232_at', 'X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,0.09875129833817482,0.09875129833817482,LogisticRegression,5,"['X54232_at', 'X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
accuracy,0.5166666666666667,4.216712650532524,RandomForestClassifier,5,"['X54232_at', 'X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,-0.15697119581940805,4.216712650532524,RandomForestClassifier,5,"['X54232_at', 'X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.456043956043956,4.216712650532524,RandomForestClassifier,5,"['X54232_at', 'X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.31081549324525387,4.216712650532524,RandomForestClassifier,5,"['X54232_at', 'X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,4.216712650532524,4.216712650532524,RandomForestClassifier,5,"['X54232_at', 'X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
accuracy,0.5333333333333333,0.01905654047926267,KNeighborsClassifier,5,"['X54232_at', 'X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,-0.1008712554448004,0.01905654047926267,KNeighborsClassifier,5,"['X54232_at', 'X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.4163614163614164,0.01905654047926267,KNeighborsClassifier,5,"['X54232_at', 'X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.3170127700202888,0.01905654047926267,KNeighborsClassifier,5,"['X54232_at', 'X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,0.01905654047926267,0.01905654047926267,KNeighborsClassifier,5,"['X54232_at', 'X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
accuracy,0.5666666666666667,0.007360769870380561,GaussianNB,5,"['X54232_at', 'X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,0.026291091402101525,0.007360769870380561,GaussianNB,5,"['X54232_at', 'X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.5384615384615384,0.007360769870380561,GaussianNB,5,"['X54232_at', 'X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.40216087917983023,0.007360769870380561,GaussianNB,5,"['X54232_at', 'X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
infrence_time,0.007360769870380561,0.007360769870380561,GaussianNB,5,"['X54232_at', 'X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
accuracy,0.6333333333333333,0.008336521933476131,SVC,5,"['X54232_at', 'X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
MCC,-0.09553254290337612,0.008336521933476131,SVC,5,"['X54232_at', 'X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
AUC,0.2857142857142857,0.008336521933476131,SVC,5,"['X54232_at', 'X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
PR-AUC,0.25679944463505694,0.008336521933476131,SVC,5,"['X54232_at', 'X54131_at', 'L29008_at', 'X54326_at', 'Z78285_f_at']",[1 1 1 1 1],dssa,0,117.88160998001695,ARFF_CNS,60,7129,StratifiedKFold n_splits = 5
