index,value,infrence_time,Learning algorithm,Number of features selected (K),chosen_features,Selected Features scores,Filtering Algorithm,Fold,fs_time,Dataset Name,Number of samples,Original Number of features,CV Method
MCC,0.15287550087994767,6.005897497137388e-06,KNeighborsClassifier,1,['1023'],[1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.5338294194688109,6.005897497137388e-06,KNeighborsClassifier,1,['1023'],[1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.05705738744515421,6.005897497137388e-06,KNeighborsClassifier,1,['1023'],[1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,6.005897497137388e-06,6.005897497137388e-06,KNeighborsClassifier,1,['1023'],[1],dssa,4,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.1284722222222222,2.9561834202872384e-06,GaussianNB,1,['1023'],[1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.18973324732245891,2.9561834202872384e-06,GaussianNB,1,['1023'],[1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.6270051575698504,2.9561834202872384e-06,GaussianNB,1,['1023'],[1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.13485989552884603,2.9561834202872384e-06,GaussianNB,1,['1023'],[1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,2.9561834202872384e-06,2.9561834202872384e-06,GaussianNB,1,['1023'],[1],dssa,0,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
accuracy,0.10416666666666667,3.099908483111196e-06,GaussianNB,1,['1023'],[1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
MCC,0.13092646092034585,3.099908483111196e-06,GaussianNB,1,['1023'],[1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
AUC,0.6259054936241065,3.099908483111196e-06,GaussianNB,1,['1023'],[1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
PR-AUC,0.1257283625133175,3.099908483111196e-06,GaussianNB,1,['1023'],[1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
infrence_time,3.099908483111196e-06,3.099908483111196e-06,GaussianNB,1,['1023'],[1],dssa,1,661.2103543169796,scikit_COIL20,1440,1024,StratifiedKFold n_splits = 5
