index,value,infrence_time,Learning algorithm,Number of features selected (K),chosen_features,Selected Features scores,Filtering Algorithm,Fold,fs_time,Dataset Name,Number of samples,Original Number of features,CV Method
AUC,0.6355498721227623,0.07764090962477566,LogisticRegression,4,"['Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
PR-AUC,0.6326966869877461,0.07764090962477566,LogisticRegression,4,"['Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
infrence_time,0.07764090962477566,0.07764090962477566,LogisticRegression,4,"['Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
accuracy,0.5876288659793815,2.987052634166381,RandomForestClassifier,4,"['Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
MCC,0.16906173826454418,2.987052634166381,RandomForestClassifier,4,"['Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
AUC,0.6453537936913896,2.987052634166381,RandomForestClassifier,4,"['Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
PR-AUC,0.5909747376216747,2.987052634166381,RandomForestClassifier,4,"['Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
infrence_time,2.987052634166381,2.987052634166381,RandomForestClassifier,4,"['Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
accuracy,0.6082474226804123,0.020862975340221347,KNeighborsClassifier,4,"['Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
MCC,0.21100240412394727,0.020862975340221347,KNeighborsClassifier,4,"['Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
AUC,0.6566496163682866,0.020862975340221347,KNeighborsClassifier,4,"['Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
PR-AUC,0.6213148563848592,0.020862975340221347,KNeighborsClassifier,4,"['Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
infrence_time,0.020862975340221347,0.020862975340221347,KNeighborsClassifier,4,"['Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
accuracy,0.6185567010309279,0.013333500814192073,GaussianNB,4,"['Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
MCC,0.23460988164349175,0.013333500814192073,GaussianNB,4,"['Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
AUC,0.6692242114236999,0.013333500814192073,GaussianNB,4,"['Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
PR-AUC,0.6638176666755013,0.013333500814192073,GaussianNB,4,"['Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
infrence_time,0.013333500814192073,0.013333500814192073,GaussianNB,4,"['Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
accuracy,0.5979381443298969,0.02155363982178501,SVC,4,"['Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
MCC,0.19044620528513811,0.02155363982178501,SVC,4,"['Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
AUC,0.5858908780903666,0.02155363982178501,SVC,4,"['Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
PR-AUC,0.5318999321589215,0.02155363982178501,SVC,4,"['Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
infrence_time,0.02155363982178501,0.02155363982178501,SVC,4,"['Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
accuracy,0.6391752577319587,0.06901750229683119,LogisticRegression,5,"['Contig43080_RC', 'Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
MCC,0.27571512144374893,0.06901750229683119,LogisticRegression,5,"['Contig43080_RC', 'Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
AUC,0.6513213981244672,0.06901750229683119,LogisticRegression,5,"['Contig43080_RC', 'Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
PR-AUC,0.6678062411075816,0.06901750229683119,LogisticRegression,5,"['Contig43080_RC', 'Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
infrence_time,0.06901750229683119,0.06901750229683119,LogisticRegression,5,"['Contig43080_RC', 'Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
accuracy,0.5051546391752577,2.966829428238045,RandomForestClassifier,5,"['Contig43080_RC', 'Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
MCC,0.0012971488869402367,2.966829428238045,RandomForestClassifier,5,"['Contig43080_RC', 'Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
AUC,0.6005967604433078,2.966829428238045,RandomForestClassifier,5,"['Contig43080_RC', 'Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
PR-AUC,0.539902181529639,2.966829428238045,RandomForestClassifier,5,"['Contig43080_RC', 'Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
infrence_time,2.966829428238045,2.966829428238045,RandomForestClassifier,5,"['Contig43080_RC', 'Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
accuracy,0.5567010309278351,0.023788374032556396,KNeighborsClassifier,5,"['Contig43080_RC', 'Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
MCC,0.10548627813416729,0.023788374032556396,KNeighborsClassifier,5,"['Contig43080_RC', 'Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
AUC,0.5922847399829496,0.023788374032556396,KNeighborsClassifier,5,"['Contig43080_RC', 'Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
PR-AUC,0.5406456524821774,0.023788374032556396,KNeighborsClassifier,5,"['Contig43080_RC', 'Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
infrence_time,0.023788374032556396,0.023788374032556396,KNeighborsClassifier,5,"['Contig43080_RC', 'Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
accuracy,0.6391752577319587,0.012242538835277263,GaussianNB,5,"['Contig43080_RC', 'Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
MCC,0.2767386075182902,0.012242538835277263,GaussianNB,5,"['Contig43080_RC', 'Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
AUC,0.6764705882352942,0.012242538835277263,GaussianNB,5,"['Contig43080_RC', 'Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
PR-AUC,0.6638664380938952,0.012242538835277263,GaussianNB,5,"['Contig43080_RC', 'Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
infrence_time,0.012242538835277263,0.012242538835277263,GaussianNB,5,"['Contig43080_RC', 'Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
accuracy,0.5670103092783505,0.02863398854879989,SVC,5,"['Contig43080_RC', 'Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
MCC,0.12601319839997405,0.02863398854879989,SVC,5,"['Contig43080_RC', 'Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
AUC,0.6108269394714407,0.02863398854879989,SVC,5,"['Contig43080_RC', 'Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
PR-AUC,0.5543025971919159,0.02863398854879989,SVC,5,"['Contig43080_RC', 'Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
infrence_time,0.02863398854879989,0.02863398854879989,SVC,5,"['Contig43080_RC', 'Contig12874', 'Contig33603_RC', 'X76302', 'NM_005810']",[1 1 1 1 1],dssa,0,327.89594708383083,ARFF_Breast,97,24188,StratifiedKFold n_splits = 5
